name,description,price,color,size,material,image,category,subcategory,subsubcategory,stock
"H&M","Feather Soft Flared Ultra High Jeans",34.99,"[""Light Blue""]","[""S"", ""M"", ""L"", ""XL""]","Cotton, Lyocell","https://image.hm.com/assets/hm/b6/ad/b6ad76baea3892b5b596e6e83c9d7a2e5a312862.jpg?imwidth=1536","Clothing","Women","Bottoms",100
"H&M","Baggy High Jeans",29.99,"[""Blue"", ""Black"", ""Light Blue""]","[""S"", ""M"", ""L"", ""XL""]","Cotton, Polyester","https://image.hm.com/assets/hm/6d/b6/6db68fbbb69046bffaf64f5b058365ef7d655c62.jpg?imwidth=1536","Clothing","Women","Bottoms",100
"H&M","High-Waist Knee-Length Denim Shorts",24.99,"[""Blue"", ""Black"", ""Light Blue"", ""White"", ""Brown""]","[""S"", ""M"", ""L"", ""XL""]","Cotton","https://image.hm.com/assets/hm/66/4f/664f611fd6e9c52197e7eaca6149bf964e8b575f.jpg?imwidth=1536","Clothing","Women","Bottoms",100
"H&M","Straight Regular Jeans",39.99,"[""Blue"", ""Black"", ""Light Blue"", ""White""]","[""S"", ""M"", ""L"", ""XL""]","Cotton","https://image.hm.com/assets/hm/a5/55/a555e76451224d8d0edbf0def98bfbef3ed45117.jpg?imwidth=1536","Clothing","Women","Bottoms",100
"H&M","Linen Shirt",29.99,"[""Pink"", ""Black"", ""White"", ""Blue"", ""Beige"", ""Light Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Linen","https://image.hm.com/assets/hm/57/09/57093b5b76c66048500fdb342ff9ac458f7a7d5f.jpg?imwidth=1536","Clothing","Women","Bottoms",100
"DKNY","HIGH RISE SKINNY 29"" INSEAM",35,"[""Black"", ""Purple"", ""Blue"", ""Light blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://www.dkny.com/cdn/shop/files/DKNYDJ09024_5_DJ4B4002_OPT_Fb.jpg?v=1716991247&width=1400","Clothing","Women","Bottoms",100
"DKNY","HIGH RISE WIDE LEG WITH STUDS",62.3,"[""Light Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://www.dkny.com/cdn/shop/files/DKNYDJ21823_7_DJ4G4016_AW2_S.jpg?v=1713295465&width=3000","Clothing","Women","Bottoms",100
"DKNY","HIGH RISE WIDE LEG WITH RHINESTONE EMBELLISHMENT",97.3,"[""Light Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://www.dkny.com/cdn/shop/files/DKNYDJ28324_11_DJ5M4084_JEE_Fb.jpg?v=1738183007&width=1400","Clothing","Women","Bottoms",100
"DKNY","EYELET HIGH WAIST WIDE LEG TROUSER",62.3,"[""Brown"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://www.dkny.com/cdn/shop/files/DKNYDJ00225_27r_DJ4P3000_HVQ_Retaild.jpg?v=1738008126&width=1400","Clothing","Women","Bottoms",100
"Halara","High Waisted Side Zipper Pocket Work Flare Pants",49.95,"[""Blue"", ""Black"", ""Purple"", ""Brown""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Polyester, Elastane","https://mpir.halarastatic.com/upload/online/41/18/11/12/24/_6953483892-1400x.webp","Clothing","Women","Bottoms",100
"Halara","High Waisted Drawstring Side Pocket Ruched Wide Leg Casual Pants",54.95,"[""Burgundy"", ""Black""]","[""XS"", ""XL""]","Viscose, Elastane","https://mpir.halarastatic.com/upload/online/52/10/19/01/23/_7497782514-1400x.webp","Clothing","Women","Bottoms",100
"Halara","High Waisted Side Pocket Thermal Yoga Flare Pants",39.95,"[""Grey and Black""]","[""S"", ""M""]","Polyester, Elastane","https://mpir.halarastatic.com/upload/online/45/19/12/07/24/_7174795207-1400x.webp","Clothing","Women","Bottoms",100
"Halara","High Waisted Side Pocket Wide Leg Micro Waffle Work Pants",49.95,"[""Pink"", ""Green"", ""Grey"", ""Black"", ""Blue""]","[""S"", ""M""]","Polyester, Elastane","https://mpir.halarastatic.com/upload/online/01/18/24/06/24/_6619727602-1400x.webp","Clothing","Women","Bottoms",100
"Halara","High Waisted Adjustable Drawcord Side Pocket Barrel Leg Pilates Joggers",44.95,"[""Brown"", ""Black""]","[""S"", ""M""]","Modal, Polyester, Elastane","https://mpir.halarastatic.com/upload/online/41/19/10/07/24/_7155398336-1400x.webp","Clothing","Women","Bottoms",100
