name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"PURE CHAMP","PURE CHAMP 3Pk Boys Sweatpants Fleece Athletic Workout Kids Clothes Boys Joggers with Zipper Pocket and Drawstring Size 4-20",38.83,"Cotton, Silk","https://m.media-amazon.com/images/I/81ueqLgPz-L._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"French Toast","French Toast Boys Pull-on Relaxed Fit School Uniform Pant (Standard & Husky)",13.99,"Silk, Polyester","https://m.media-amazon.com/images/I/71+P-wXOHTL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"The Children's Place","The Children's Place Boys' Stretch Chino Pants",17.97,"Wool, Synthetic","https://m.media-amazon.com/images/I/51OBAzu8EsL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"adidas","adidas Boys' Big Active Sports Athletic Tricot Jogger Pant",24,"Wool, Denim","https://m.media-amazon.com/images/I/41izQ6wMkEL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Hanes","Hanes Boys EcoSmart Fleece Sweatpants, Midweight Cotton/Poly Fleece Pants for Boys, Cuffed Sweats",12,"Denim, Wool","https://m.media-amazon.com/images/I/61Rppd4mfbL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"The Children's Place","The Children's Place Boys' Basic Bootcut Jeans",15.65,"Denim, Cotton","https://m.media-amazon.com/images/I/91vacU3vEuL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"The Children's Place","The Children's Place Boys' Pull on Cargo Pants",38.84,"Synthetic, Denim","https://m.media-amazon.com/images/I/61r1xiZt9VL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Real Essentials","Real Essentials 3 Pack: Boys' Tricot Open Bottom Fleece-Lined Sweatpants with Pockets",35.99,"Denim, Silk","https://m.media-amazon.com/images/I/71+Wq+4oXBL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Calvin Klein","Calvin Klein Boys' Flat Bi-Stretch Dress Pant, Straight Leg Fit, Belt Loops & Front Pockets",25.99,"Silk, Wool","https://m.media-amazon.com/images/I/61+vb+EfkkL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Under Armour","Under Armour Boys' Brawler 2.0 Pants",28.14,"Linen, Synthetic","https://m.media-amazon.com/images/I/41es086BlEL._AC_UL320_.jpg","Clothing","Men","Pants","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
