name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"Disney","Disney Pixar Toy Story Pizza Planet Aliens T-Shirt",22.99,"Polyester, Cotton","https://m.media-amazon.com/images/I/71DJh9D-oLL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Hanes","Hanes Boys' Originals Crewneck Undershirts Pack, Stretch Cotton, Black & Assorted, 5-Pack",18.53,"Wool, Polyester","https://m.media-amazon.com/images/I/71danqNQEnL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"CAT","St Patricks Day Wee Little Hooligan Funny Men Boy Kids T-Shirt",15.95,"Cotton, Synthetic","https://m.media-amazon.com/images/I/71igBDwRU7L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Disney","Disney Pirates of the Caribbean Dead Men Tell No Tales T-Shirt",22.99,"Denim, Linen","https://m.media-amazon.com/images/I/61s1FcXy93L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Under Armour","Under Armour Boys' Logo Short Sleeve Tee Shirt",14.99,"Linen, Denim","https://m.media-amazon.com/images/I/51S1nTbxVqL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Mickey Mouse Classic Small Pose T-Shirt",22.99,"Wool, Polyester","https://m.media-amazon.com/images/I/61lJoobAf0L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"The Children's Place","The Children's Place Boys' Uniform Short Sleeve Pique Polo",7.77,"Linen, Silk","https://m.media-amazon.com/images/I/71LfNHWmjRL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Mickey Mouse Americana Ears shape T-Shirt",22.99,"Denim, Polyester","https://m.media-amazon.com/images/I/61z75IkyClL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Disney","Disney Pixar Toy Story Pizza Planet Left Chest Logo T-Shirt",23.99,"Polyester, Cotton","https://m.media-amazon.com/images/I/614Akba3wUL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"The Children's Place","The Children's Place Boys' Long Sleeve Oxford Button Down Shirt",17.97,"Leather, Wool","https://m.media-amazon.com/images/I/71AqWMkQrRL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"French Toast","French Toast Boys' Expandable Collar Button Down Dress Shirt with Long Sleeves (Standard & Husky)",13.5,"Silk, Wool","https://m.media-amazon.com/images/I/61w8I1OCpYL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Disney","Disney Pixar Inside Out 2 Today I Feel... Vintage Panels T-Shirt",22.99,"Leather, Wool","https://m.media-amazon.com/images/I/71JY-yCbsmL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Disney","Disney Mickey And Friends Minnie Mouse Vintage Sitting T-Shirt",22.99,"Polyester, Leather","https://m.media-amazon.com/images/I/71AoiiEpC3L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"The Children's Place","The Children's Place Boys' Positive Vibes Graphic Short Sleeve Tee",8.66,"Leather, Polyester","https://m.media-amazon.com/images/I/61kpmEo+geL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Disney","Disney Mickey And Friends Mickey And Pluto Retro Line T-Shirt",22.99,"Leather, Polyester","https://m.media-amazon.com/images/I/71LmtdK4O7L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Moana Hei Hei Boat Snack Vintage Style Poster T-Shirt",22.99,"Linen, Leather","https://m.media-amazon.com/images/I/71hxC16pHvL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Disney","Disney Fantasia Mickey Mouse Sorcerer??s Apprentice Retro T-Shirt",22.99,"Polyester, Cotton","https://m.media-amazon.com/images/I/71S48MYfnIL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"French Toast","French Toast Boys' Short Sleeve Classic Poplin Dress Shirt (Standard & Husky)",9,"Silk, Wool","https://m.media-amazon.com/images/I/51jybG8pUmL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Disney","Disney Pixar Cars Lightning McQueen Vintage Race T-Shirt",22.99,"Wool, Cotton","https://m.media-amazon.com/images/I/71cStvY35cL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"MagicMoon","Three Possum Moon | 3 Opossum Funny Weird Cursed Meme T-Shirt",23.95,"Linen, Denim","https://m.media-amazon.com/images/I/71SaZNyuzeL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"The Children's Place","The Children's Place Boys' Irish Graphic Tees",4.99,"Cotton, Polyester","https://m.media-amazon.com/images/I/71EzdSogX1L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Mickey & Friends Mickey Mouse Vintage Portrait T-Shirt",22.99,"Linen, Silk","https://m.media-amazon.com/images/I/61rh5d-rG5L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"The Children's Place","The Children'S Place Boys Short Sleeve Oxford Shirt",10.5,"Leather, Cotton","https://m.media-amazon.com/images/I/51NCJaHC9CL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Calvin Klein","Calvin Klein Boys' Long Sleeve Buttoned Cuffs & Shirttail Hem Sateen Dress Shirt",24.99,"Synthetic, Cotton","https://m.media-amazon.com/images/I/411PGCaIzHL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"The Children's Place","The Children's Place boys Long Sleeve Pique Polo",8.97,"Denim, Wool","https://m.media-amazon.com/images/I/916X1V+yY3L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"CAT","St Patricks Day Shirt Sassy Lassie Funny Irish Girl Women T-Shirt",15.95,"Synthetic, Linen","https://m.media-amazon.com/images/I/71P3AbQ0FKL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"The Children's Place","The Children's Place Boys Gaming Short Sleeve Graphic T Shirt",20.37,"Wool, Cotton","https://m.media-amazon.com/images/I/71etVXJR0IL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"The Children's Place","The Children's Place Boys Extreme Sports Short Sleeve Graphic T Shirt",20.37,"Silk, Leather","https://m.media-amazon.com/images/I/71cwtgHx+jL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Disney","Disney Mickey And Friends Group Shot Panels T-Shirt",22.99,"Wool, Polyester","https://m.media-amazon.com/images/I/71be6BNJ3RL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Walt Disney World 50th Anniversary T-Shirt",22.99,"Silk, Denim","https://m.media-amazon.com/images/I/71O6qnkMrQL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Disney","Disney The Three Caballeros Donald Duck Vintage Distressed T-Shirt",22.99,"Linen, Synthetic","https://m.media-amazon.com/images/I/71TGz91loYL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
