name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"Hanes","Hanes Boys' Ecosmart Short Sleeve Crew Neck T-Shirt 5-Pack",9.98,"Wool, Leather","https://m.media-amazon.com/images/I/519J+6WnooL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Fruit of the Loom","Fruit of the Loom Boys' Cotton White T Shirt",13.99,"Linen, Synthetic","https://m.media-amazon.com/images/I/51tPDxECE8L._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Dr. Seuss","Dr. Seuss Oh the Places You'll Go! T-Shirt",16.99,"Leather, Linen","https://m.media-amazon.com/images/I/61M146ji2KL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Hanes","Hanes Boys' Originals Crewneck Undershirts Pack, Stretch Cotton, Black & Assorted, 5-Pack",16.22,"Wool, Cotton","https://m.media-amazon.com/images/I/71danqNQEnL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"The Children's Place","The Children'S Place Boys Basic Short Sleeve Tee",46.04,"Linen, Cotton","https://m.media-amazon.com/images/I/81MAbk-pj-L._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"The Children's Place","The Children's Place Boys Gaming Short Sleeve Graphic T Shirt",20.37,"Polyester, Denim","https://m.media-amazon.com/images/I/71etVXJR0IL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"The Children's Place","The Children's Place Baby Boys' Sports Short Sleeve Graphic T-Shirts,multipacks",24.49,"Wool, Denim","https://m.media-amazon.com/images/I/71sXKCOLjcL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Pixar Toy Story Pizza Planet Left Chest Logo T-Shirt",23.99,"Denim, Linen","https://m.media-amazon.com/images/I/614Akba3wUL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Hanes","Hanes Boys Essentials Short Sleeve T-shirt Value Pack, 3 or 6-Pack",23.89,"Polyester, Silk","https://m.media-amazon.com/images/I/61iPLIIssvL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"The Children's Place","The Children's Place Boys' Assorted Everday Short Sleeve Graphic T-Shirts,multipacks",13.77,"Leather, Wool","https://m.media-amazon.com/images/I/71oKDec-ltL._AC_UL320_.jpg","Clothing","Men","T-shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
