name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"French Toast","French Toast Boys' Adjustable Waist Straight Fit Stretch Twill Chino Pant",14.99,"Wool, Cotton","https://m.media-amazon.com/images/I/61dZN7UvG0S._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"The Children's Place","The Children's Place Boys' Stretch Skinny Chino Pants",10.36,"Leather, Wool","https://m.media-amazon.com/images/I/71eabsJLfrL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Haloumoning","Haloumoning Boys Elastic Waist Pants Kids Uniform School Cotton Twill Trousers with Pockets 5-14 Years",13.49,"Wool, Silk","https://m.media-amazon.com/images/I/51D+jpVc6IL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Lycody","Lycody Boys' Flat Front Dress Pants Adjustable Waist School Uniforms Pants",21.95,"Wool, Denim","https://m.media-amazon.com/images/I/518DJxjsqxL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Hanes","Hanes Boys EcoSmart Fleece Sweatpants, Midweight Cotton/Poly Fleece Pants for Boys, Cuffed Sweats",9.8,"Synthetic, Silk","https://m.media-amazon.com/images/I/61v36aSxRXL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Bumeex","Bumeex Toddler Boy's 2pk Cotton Pull-on Pants 2-9years",28.8,"Linen, Leather","https://m.media-amazon.com/images/I/711dxQ+QvvL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Yanlu","Boys Dress Pants Adjustable Waist Flat Front Casual Wear Slim Fit School Uniforms Pants",20.99,"Synthetic, Silk","https://m.media-amazon.com/images/I/61sl0Pb2bLL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"TLAENSON","TLAENSON Boys Cargo Joggers Pants Elastic Waist Casual Jogging Trousers Bottom for Kids 6-16 Years",24.89,"Silk, Linen","https://m.media-amazon.com/images/I/61dPy7+nv4L._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Batermoon","Batermoon Boys Elastic Waist Dress Pants Kids Slim Fit Straight Suit Pants Uniform Trousers with Pockets",30.39,"Silk, Wool","https://m.media-amazon.com/images/I/51ZbygDndtL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Nivne Tco","Nivne Tco Boys Casual Pants-Solid Color Soft Trousers-Toddler Boys 3 Pack Sweatpants Set (3-7 Years)",19.99,"Denim, Wool","https://m.media-amazon.com/images/I/61XOI7PAOLL._AC_UL320_.jpg","Clothing","Men","Trousers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
