name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"IZOD","IZOD Boys' Brass Button Blazer Jacket",49,"Wool, Polyester","https://m.media-amazon.com/images/I/61z3h5CcFAL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"Calvin Klein","Calvin Klein Boys' Bi-Stretch Blazer Suit Jacket, 2-Button Single Breasted Closure, Buttoned Cuffs & Front Flap Pockets",32.35,"Leather, Synthetic","https://m.media-amazon.com/images/I/71hmmqtrdDL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"Van Heusen","Van Heusen Boys' Flex Stretch Suit Jacket",41.39,"Leather, Polyester","https://m.media-amazon.com/images/I/61Vd8cPxvvL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"Calvin Klein","Calvin Klein Boys' Blazer Suit Jacket, 2 Single Breasted Closure, Buttoned Cuffs & Front Flap Pockets",50.94,"Wool, Silk","https://m.media-amazon.com/images/I/91M4uqrBG+L._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"IZOD","IZOD Boys' Bi-Stretch Blazer Jacket",55.99,"Linen, Leather","https://m.media-amazon.com/images/I/61b98tZQXaL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"Tommy Hilfiger","Tommy Hilfiger Boys' Bi-Stretch Alexander Blazer, Single Breasted with Pocket Square, Solid Color with Flag Print Lining",27.34,"Leather, Denim","https://m.media-amazon.com/images/I/61o4fPwUMmL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"Fommykin","Toddler Boys' Blazer Jackets Lightweight Stylish Two Buttons Solid School Suit Casual Sport Coat",39.99,"Wool, Polyester","https://m.media-amazon.com/images/I/619OnFrPhZL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"Kingdenergy","Kingdenergy Kids Boys Blazers Casual 2 Buttons Front Notched Lapel Suit Jackets School Uniform",14.99,"Synthetic, Polyester","https://m.media-amazon.com/images/I/71yenmfhPzL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"PASLTER","PASLTER Boys Blazer 2 Button Notched Lapel Casual Kids Teen Suit Jacket Coat School Uniform",34.99,"Cotton, Silk","https://m.media-amazon.com/images/I/61IMo6Z8xxL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
"SaiLiiny","SaiLiiny Blazer for Boys Coat One-Button Jacket Blue Suit for Kids Slim Fit Suits with Lapel Formal Blazer",19.99,"Denim, Leather","https://m.media-amazon.com/images/I/71C-m1KVBaL._AC_UL320_.jpg","Clothing","Men","Blazers","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black""]",100
