name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"Amazon Essentials","Amazon Essentials Babies, Toddlers, and Boys' Heavyweight Hooded Puffer Jacket",36.8,"Leather, Silk","https://m.media-amazon.com/images/I/71qAWNGtbUL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"DKNY","DKNY Boys Jacket ¨C Midweight Insulated Quilted Outerwear Parka Puffer Coat ¨C Water Resistant Boys Winter Hooded Jacket (8-20)",54.99,"Silk, Linen","https://m.media-amazon.com/images/I/61C16rwqEaL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"Vinmin","ValentinA Latest Boys Thicken Fleece Hooded Jacket Warm Quilted Coat Outdoor Cool Cute Fashion for Winter Autumn Spring",37.99,"Linen, Synthetic","https://m.media-amazon.com/images/I/611CQ5Rr4HL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"Columbia","Columbia Boys' Steens Mountain Ii Fleece",28,"Cotton, Synthetic","https://m.media-amazon.com/images/I/71+Y12z3BQS._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"The Children's Place","The Children's Place Boys' Big Kid Medium Weight Puffer Jacket, Wind, Water-Resistant Seasonal",35.97,"Linen, Wool","https://m.media-amazon.com/images/I/61nsOCj2zwL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"WULFUL","WULFUL Kids Boy's Winter Coat Detachable Hat Puffer Windbreaker Warm Cotton Jacket Parka Down Outdoor Coats",36.99,"Wool, Leather","https://m.media-amazon.com/images/I/71MhQD4xmVL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"DKNY","DKNY Boys' Winter Jacket - Heavyweight Sherpa Lined Bubble Puffer Coat with Convenient Pockets - Jacket for Boys (Size: 4-20)",34.99,"Denim, Cotton","https://m.media-amazon.com/images/I/71y2VItEqSL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"Eddie Bauer","Eddie Bauer Boys' Jacket - CirrusLite Weather Resistant Down Coat for Boys - Insulated Quilted Bubble Puffer (3-20)",44.99,"Linen, Wool","https://m.media-amazon.com/images/I/71CUKql-jwL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"Amazon Essentials","Amazon Essentials Boys and Toddlers' Lightweight Water-Resistant Packable Hooded Puffer Jacket",27.1,"Polyester, Synthetic","https://m.media-amazon.com/images/I/81fVi+0jooL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
"The Children's Place","The Children's Place Boys' Uniform Windbreaker Jacket",23.97,"Silk, Polyester","https://m.media-amazon.com/images/I/71Sfx5z6kdL._AC_UL320_.jpg","Clothing","Men","Coats","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Brown""]",100
