name,description,price,color,size,material,image,category,subcategory,subsubcategory,stock
"Old Navy","Vintage Maxi T-Shirt Dress",20.99,"[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://oldnavy.gap.com/webcontent/0057/786/723/cn57786723.jpg","Clothing","Women","Dresses",100
"Old Navy","Jean Popover Shirt Dress",29.99,"[""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton, Recycled cotton","https://oldnavy.gap.com/webcontent/0056/372/728/cn56372728.jpg","Clothing","Women","Dresses",100
"Old Navy","Button-Down Mini Shirt Dress",23.99,"[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://oldnavy.gap.com/webcontent/0057/409/382/cn57409382.jpg","Clothing","Women","Dresses",100
"Old Navy","Fit & Flare Sleeveless Linen-Blend Midi Dress",34.99,"[""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Linen, Viscose rayon","https://oldnavy.gap.com/webcontent/0057/815/012/cn57815012.jpg","Clothing","Women","Dresses",100
"Old Navy","Flutter-Sleeve Crepe Midi Dress",30.99,"[""Blue"", ""Orange"", ""Black""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Viscose","https://oldnavy.gap.com/webcontent/0057/326/988/cn57326988.jpg","Clothing","Women","Dresses",100
"H&M","Patterned Viscose Dress",24.99,"[""Beige"", ""White"", ""Black"", ""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Rayon","https://image.hm.com/assets/hm/ed/43/ed43ecc4bf8a0d4e58dc47a2e276e3a3731c8911.jpg?imwidth=2160","Clothing","Women","Dresses",100
"H&M","Draped Bodycon Dress",17.99,"[""Red"", ""Gray""]","[""XS"", ""S"", ""M"", ""L""]","Polyester, Spandex","https://image.hm.com/assets/hm/45/c4/45c489f938be8f86b3335e0f65bf49264e7a8eb2.jpg?imwidth=1536","Clothing","Women","Dresses",100
"H&M","Feather Soft Flared-Skirt Denim Dress",44.99,"[""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton, Lyocell","https://image.hm.com/assets/hm/97/3c/973cbac7043d1ee5325405ae0c99891973679c42.jpg?imwidth=1536","Clothing","Women","Dresses",100
"H&M","Twist-Detail One-Shoulder Dress",24.99,"[""Taupe"", ""Black"", ""Green""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Polyester, Spandex","https://image.hm.com/assets/hm/c7/38/c738c8b6c01e89c7b1abcc3a61bac9425c8b89ce.jpg?imwidth=1536","Clothing","Women","Dresses",100
"H&M","Cowl-Back Dress",29.99,"[""Pink"", ""Black""]","[""XS""]","Polyester","https://image.hm.com/assets/hm/1e/e5/1ee5b7c61a107b0802c844bf1d2e090e04463952.jpg?imwidth=1536","Clothing","Women","Dresses",100
