name,description,price,color,size,material,image,category,subcategory,subsubcategory,stock
Dressberry,Sunshine Palette Floral Oversized T-shirt,10,"[""Orange"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton, Spandex",https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/bTL3yVpo_9b37b1a513c2493fa4fb461f0afd4dc8.jpg,Clothing,Women,T-shirts,10
Dressberry,Women Printed Drop-Shoulder Sleeves Pure Cotton Relaxed Fit T-shirt,8,"[""Pink""]","[""S"", ""M"", ""L"", ""XL""]","Cotton","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30047202/2024/11/20/00db670a-7774-4787-b2d3-a3b779f3d0f11732102634300-DressBerry-Women-Tshirts-1541732102633873-3.jpg",Clothing,Women,T-shirts,10
Dressberry,Typography Printed Drop-Shoulder Sleeves Oversized Pure Cotton T-shirt,8,"[""Pink"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://assets.myntassets.com/assets/images/31451372/2025/1/23/358988fc-7fd7-4897-92d8-13e7bcb6142f1737610844564-DressBerry-Women-Tshirts-7631737610844118-6.jpg?im=Crop,rect=(432,288,400,389)",Clothing,Women,T-shirts,10
Dressberry,Women Printed Pure Cotton T-shirt,6,"[""Green""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30321617/2024/11/18/a0766cc0-138e-44c5-80b4-e2022c4ddccd1731921217080-DressBerry-Women-Tshirts-5431731921216592-1.jpg",Clothing,Women,T-shirts,10
Dressberry,Women Purple Solid T-shirt,14,"[""Pink""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Polyester","https://assets.myntassets.com/assets/images/19018100/2022/10/20/32246327-546d-46d0-9e4c-5798e45efbae1666263249426-DressBerry-Women-Tshirts-7371666263248983-5.jpg?im=Crop,rect=(443,188,411,475)",Clothing,Women,T-shirts,10
DILLINGER,Women Red & Beige Typography Printed Pure Cotton Loose T-shirt,18,"[""Red""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton",https://assets.myntassets.com/assets/images/17692896/2022/4/12/b5756697-ca0f-4340-a55f-5be92ef06a9a1649759620445-DILLINGER-Women-Tshirts-9101649759620095-5.jpg,Clothing,Women,T-shirts,10
The Souled Store,Pink Panther Printed Drop-Shoulder Sleeves Cotton Oversized T-shirt,10,"[""Pink"", ""Purple"", ""Green"", ""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton",https://assets.myntassets.com/assets/images/25856946/2023/11/11/a3d5fbdf-a83f-46f1-96de-30475239642e1699648788530TheSouledStoreWomenPinkTypographyPrintedAppliqueT-shirt5.jpg,Clothing,Women,T-shirts,10
The Souled Store,Women Graphic Printed Round Neck Cotton Oversized T-shirt,20,"[""Red""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30124689/2024/7/4/2b5ce56c-056f-4244-a129-28b677f18b1d1720070307947TheSouledStoreWomenTypographyPrintedT-shirt1.jpg",Clothing,Women,T-shirts,10
The Souled Store,Round Neck Drop Shoulder Graphic Printed Oversized Cotton T-shirt,15,"[""Purple""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton",https://assets.myntassets.com/assets/images/29059172/2024/4/18/d6021536-87a1-435e-b54f-9ca02bea80af1713456516132TheSouledStoreWomenPrintedT-shirt5.jpg,Clothing,Women,T-shirts,10
The Souled Store,Disney Princess Printed Pure Cotton Oversized T-shirt,16,"[""Purple""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24664550/2023/8/26/790aa61c-266f-41a5-ae99-3984c451f97c1693039683080TheSouledStoreWomenBluePrintedRawEdgeT-shirt1.jpg",Clothing,Women,T-shirts,10
