name,description,price,color,size,material,image,category,subcategory,subsubcategory,stock
"Old Navy","Flutter-Sleeve Smocked Top",18,"[""Blue"", ""Yellow"", ""White"", ""Black""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://oldnavy.gap.com/webcontent/0057/318/796/cn57318796.jpg","Clothing","Women","Tops",100
"Old Navy","Ribbed Button-Down Polo",15,"[""Blue"", ""Yellow"", ""White"", ""Black""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton, Polyeste, Spandex","https://oldnavy.gap.com/webcontent/0057/556/143/cn57556143.jpg","Clothing","Women","Tops",100
"Old Navy","Lace Crew-Neck Top",18,"[""Black"", ""White"", ""Pink"", ""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton, Nylon, Spandex","https://oldnavy.gap.com/webcontent/0057/418/924/cn57418924.jpg","Clothing","Women","Tops",100
"Old Navy","Snug Crop Tank Top",8,"[""Beige"", ""Blue"", ""White"", ""Yellow"", ""Red"", ""Brown"", ""Black"", ""Pink"", ""Green""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton, Polyester, Spandex","https://oldnavy.gap.com/webcontent/0057/885/031/cn57885031.jpg","Clothing","Women","Tops",100
"Old Navy","Flannel Boyfriend Button-Down Shirt",6.75,"[""Red"", ""Black"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://oldnavy.gap.com/webcontent/0056/228/535/cn56228535.jpg","Clothing","Women","Tops",100
"Old Navy","Puff-Sleeve Top",17.47,"[""Red"", ""Blue"", ""Black""]","[""XS""]","Cotton","https://oldnavy.gap.com/webcontent/0056/750/112/cn56750112.jpg","Clothing","Women","Tops",100
"Old Navy","Button-Down Pointelle Top",14.97,"[""Black"", ""Green""]","[""XS"", ""S"", ""M""]","Rayon, Polyester","https://oldnavy.gap.com/webcontent/0056/204/689/cn56204689.jpg","Clothing","Women","Tops",100
"H&M","Knit Top with Collar",14.97,"[""White"", ""Black""]","[""XS"", ""S"", ""M"", ""L""]","Polyester","https://oldnavy.gap.com/webcontent/0056/204/400/cn56204400.jpg","Clothing","Women","Tops",100
"H&M","Studded Mock Turtleneck Top",34.99,"[""Brown""]","[""XS"", ""S"", ""M"", ""L""]","Polyester, Spandex","https://image.hm.com/assets/hm/89/88/898863937d4011456e0f5984f92a1700864a1b58.jpg?imwidth=1536","Clothing","Women","Tops",100
"H&M","Lacing-detail Rib-knit Tank Top",31.99,"[""Black"", ""Beige""]","[""XS"", ""S"", ""M"", ""L""]","Cotton, Polyester","https://image.hm.com/assets/hm/5b/e3/5be3c559993e65b34aeb8b361b8c0f89453baa3f.jpg?imwidth=1536","Clothing","Women","Tops",100
"H&M","Pima Cotton Jersey Top",29.99,"[""White"", ""Black"", ""Pink"", ""Beige"", ""Brown""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://image.hm.com/assets/hm/83/a3/83a34cc6519c4b76ea2590d7c436e8ab167851c4.jpg?imwidth=1536","Clothing","Women","Tops",100
"J.Crew","Sheer lace-trim button-up shirt",82,"[""Red"", ""White"", ""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://www.jcrew.com/s7-img-facade/CD018_NA6434_d2?wid=2000&hei=2000","Clothing","Women","Tops",100
"J.Crew","Collection garçon shirt with bows",98,"[""Purple"", ""Blue"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://www.jcrew.com/s7-img-facade/CI538_WZ6326_d1?wid=2000&hei=2000","Clothing","Women","Tops",100
"J.Crew","Removable tie-neck button-up shirt in striped crepe de chine",69.5,"[""Red"", ""Brown"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Viscose","https://www.jcrew.com/s7-img-facade/CI515_YD7591?wid=2000&hei=2000","Clothing","Women","Tops",100
