name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"Kidddio","Kidddio Baby & Toddler Jogger Pants - Premium Quality Unisex Baby Clothes, Soft, Comfortable Cotton for Newborn and Toddler",11.4,"Synthetic, Wool","https://m.media-amazon.com/images/I/514LQfi7rJL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]",100
"Kidddio","Kidddio Premium Baby & Toddler Capri Leggings - Soft Cotton Blend, Durable & Perfect for Every Adventure",11.9,"Denim, Polyester","https://m.media-amazon.com/images/I/61kgOQRn9ZL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Kidddio","Kidddio Toddler and Baby Unisex Bodysuit 2 Pack Set Short Sleeve Bodysuit Baby for 0-24 Months Babies Baby Girl Boy",16.9,"Denim, Cotton","https://m.media-amazon.com/images/I/51Y7kBrHMUL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Kidddio","Kidddio Toddler and Baby Unisex Pants 2-Pack -Baby Pants 0-3 Months to 18-24 Months Baby Cotton Sweatpants Jogger Boy Girl",16.9,"Wool, Silk","https://m.media-amazon.com/images/I/71YNIRLIjJL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Gerber","Gerber Baby Boys 4 Pack Sleep 'N Play Footie",24.99,"Linen, Leather","https://m.media-amazon.com/images/I/91-N3hxpLIL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Gerber","Gerber Baby Boys' 8-Pack Short Sleeve Onesies Bodysuits",17.48,"Wool, Silk","https://m.media-amazon.com/images/I/91eU6hjnCmL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Simple Joys by Carter's","Simple Joys by Carter's baby-boys 3-pack Rompers",20.88,"Denim, Cotton","https://m.media-amazon.com/images/I/91++RyE-DRL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Gerber","Gerber Baby 8-Pack Short Sleeve Onesie Bodysuits",22.99,"Wool, Linen","https://m.media-amazon.com/images/I/91OEqK2IhFL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Simple Joys by Carter's","Simple Joys by Carter's baby-boys 6-pack Short-sleeve Bodysuit",18.76,"Synthetic, Denim","https://m.media-amazon.com/images/I/91RhBRGminL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Simple Joys by Carter's","Simple Joys by Carter's unisex-baby 6-piece Bodysuits (Short and Long Sleeve) and Pants Set",23.3,"Polyester, Leather","https://m.media-amazon.com/images/I/81D7d6cfKwL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Pink"", ""Black""]",100
"Tepuce","Baby Boy Clothes Toddler Boys Summer Outfits Patchwork Short Sleeve Button Down Shirt Tops & Shorts Sets 12 Months-4T",14.95,"Polyester, Synthetic","https://m.media-amazon.com/images/I/51gwgQry7dL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"GAP","GAP Baby Boys' Logo Pull-on Jogger Sweatpants",19.99,"Denim, Synthetic","https://m.media-amazon.com/images/I/810fKzlL4hL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]",100
"SwimZip","SwimZip Boys' Long-Sleeve UPF 50+ Swimsuit for Baby, Toddler, & Little Boys",44.99,"Silk, Cotton","https://m.media-amazon.com/images/I/81xPz-8EqbL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
